Nome,Clube,Preço,J,Média,Últ. Pont.,Variação,RB,G,A,SG,FS,FF,FD,FT,DD,DP,GC,CV,CA,PP,GS,FC,I,PE,rodada,ano
Rodolfo (GOL),Fluminense,416,1,-200.0,-200.0,-384.0,,,,,,,,,,,,,,,1.0,,,,1,2019
César (GOL),Flamengo,278,1,-200.0,-200.0,-322.0,,,,,,,,,,,,,,,1.0,,,,1,2019
Dodô (LAT),Cruzeiro,611,1,-220.0,-220.0,-489.0,,,,,,,,,,,,,,,,2.0,,4.0,1,2019
Tinga (LAT),Fortaleza,69,1,-230.0,-230.0,-231.0,,,,,1.0,,,,,,,,,,,2.0,,6.0,1,2019
Diego Pituca (MEI),Santos,326,1,-230.0,-230.0,-374.0,1.0,,,,2.0,,,,,,,,1.0,,,2.0,,6.0,1,2019
Lucas Romero (MEI),Cruzeiro,180,1,-240.0,-240.0,-320.0,1.0,,,,,,,,,,,,1.0,,,2.0,,3.0,1,2019
Léo Duarte (ZAG),Flamengo,382,1,-250.0,-250.0,-418.0,1.0,,,,1.0,,,,,,,,1.0,,,5.0,,,1,2019
Thiago Heleno (ZAG),Athlético-PR,375,1,-260.0,-260.0,-425.0,,,,,1.0,,,,,,,,1.0,,,1.0,,2.0,1,2019
Everaldo (ATA),Fluminense,291,1,-280.0,-280.0,-409.0,,,,,1.0,,,,,,,,1.0,,,2.0,,1.0,1,2019
Fábio (GOL),Cruzeiro,763,1,-300.0,-300.0,-637.0,,,,,,,,,1.0,,,,,,3.0,,,,1,2019
Vladimir (GOL),Avaí,69,1,-400.0,-400.0,-231.0,,,,,,,,,,,,,,,2.0,,,,1,2019
Werley (ZAG),Vasco,69,1,-440.0,-440.0,-431.0,,,,,,,1.0,,,,1.0,,,,,,,2.0,1,2019
Cássio (GOL),Corinthians,520,1,-450.0,-450.0,-680.0,,,,,1.0,,,,1.0,,,,1.0,,3.0,,,,1,2019
Luciano (ATA),Fluminense,326,1,-530.0,-530.0,-674.0,1.0,,,,2.0,1.0,,,,,,,1.0,1.0,,3.0,1.0,2.0,1,2019
Paolo Guerrero (ATA),Internacional,1461,1,1200.0,1200.0,161.0,1.0,1.0,,,2.0,2.0,1.0,,,,,,,,,1.0,1.0,1.0,2,2019
Cícero (MEI),Botafogo,1420,2,1050.0,1940.0,685.0,2.0,1.0,1.0,,9.0,1.0,1.0,,,,,,,,,,,5.0,2,2019
Tiepo (GOL),Chapecoense,1619,2,1050.0,400.0,301.0,,,,1.0,,,,,6.0,,,,,,1.0,,,,2,2019
Geuvânio (ATA),Atlético-MG,1539,2,945.0,580.0,283.0,7.0,,1.0,,8.0,2.0,1.0,,,,,,,,,5.0,,3.0,2,2019
Fábio (GOL),Cruzeiro,1377,2,900.0,2100.0,614.0,,,,1.0,,,,,4.0,1.0,,,,,3.0,,,,2,2019
Ricardo Bueno (ATA),Ceará,1784,2,890.0,-490.0,-68.0,1.0,2.0,1.0,,1.0,1.0,2.0,,,,,,,1.0,,5.0,2.0,3.0,2,2019
Antony (ATA),São Paulo,1312,2,880.0,1070.0,417.0,2.0,,2.0,,6.0,2.0,1.0,,,,,,,,,,,4.0,2,2019
Everaldo (ATA),Chapecoense,1504,2,855.0,280.0,165.0,2.0,2.0,,,1.0,1.0,1.0,,,,,,,,,7.0,,3.0,2,2019
Elias (MEI),Atlético-MG,1383,2,855.0,1320.0,419.0,4.0,1.0,,,3.0,1.0,,1.0,,,,,,,,2.0,,4.0,2,2019
Bruno Pacheco (LAT),Chapecoense,1468,2,850.0,500.0,219.0,4.0,,1.0,1.0,2.0,,,,,,,,,,,,,,2,2019
Vanderlei (GOL),Santos,2126,2,820.0,70.0,-143.0,,,,,,,,,7.0,,,,,,2.0,,,2.0,2,2019
Romulo (MEI),Grêmio,645,1,820.0,820.0,245.0,3.0,1.0,,,,,,,,,,,1.0,,,4.0,,1.0,2,2019
Arthur Caíke (ATA),Bahia,1318,2,780.0,890.0,298.0,,2.0,,,,2.0,1.0,,,,,,,,,3.0,1.0,4.0,2,2019
Moisés (LAT),Bahia,1363,2,770.0,720.0,239.0,7.0,,1.0,,,1.0,1.0,,,,,,,,,3.0,,2.0,2,2019
Erik (ATA),Botafogo,1210,2,745.0,1460.0,426.0,1.0,1.0,1.0,,7.0,,,,,,,,,,,2.0,,7.0,2,2019
Ramiro (MEI),Corinthians,1550,2,730.0,20.0,-4.0,6.0,,1.0,,2.0,1.0,1.0,,,,,,,,,3.0,,3.0,2,2019
Ricardo Oliveira (ATA),Atlético-MG,1804,2,705.0,180.0,-90.0,1.0,1.0,,,1.0,2.0,1.0,1.0,,,,,,,,1.0,,4.0,2,2019
Matheus Savio (MEI),CSA,894,2,700.0,1300.0,478.0,2.0,1.0,,,1.0,,1.0,1.0,,,,,,,,1.0,,4.0,2,2019
Hudson (MEI),São Paulo,1230,2,695.0,620.0,210.0,4.0,1.0,,,2.0,,1.0,,,,,,,,,4.0,,1.0,2,2019
João Paulo (MEI),Botafogo,1008,2,665.0,1250.0,397.0,4.0,1.0,,,4.0,,2.0,,,,,,1.0,,,2.0,,7.0,2,2019
Wellington Paulista (ATA),Fortaleza,1160,2,660.0,800.0,244.0,2.0,1.0,,,4.0,1.0,1.0,,,,,,,,,3.0,,1.0,2,2019
Carlos Augusto (LAT),Corinthians,704,2,645.0,1450.0,537.0,2.0,1.0,,1.0,,1.0,,,,,,,1.0,,,2.0,,3.0,2,2019
Jorge (LAT),Santos,1001,1,640.0,640.0,1.0,1.0,,,,3.0,2.0,3.0,,,,,,,,,2.0,1.0,1.0,2,2019
Samuel Xavier (LAT),Ceará,1282,2,640.0,370.0,96.0,2.0,,1.0,1.0,3.0,1.0,,,,,,,,,,1.0,1.0,5.0,2,2019
Márcio Araújo (MEI),Chapecoense,823,2,630.0,1050.0,400.0,7.0,,,,2.0,2.0,1.0,,,,,,,,,1.0,,4.0,2,2019
Jefferson (LAT),Goiás,922,2,625.0,470.0,242.0,4.0,,,1.0,2.0,2.0,,,,,,,,,,1.0,,2.0,2,2019
Edinho (MEI),Fortaleza,917,2,610.0,980.0,334.0,1.0,1.0,,,5.0,3.0,1.0,,,,,,1.0,,,1.0,,3.0,2,2019
Luiz Otávio (ZAG),Ceará,1212,2,605.0,270.0,74.0,2.0,,1.0,1.0,2.0,,,,,,,,,,,2.0,,3.0,2,2019
Ernando (ZAG),Bahia,914,2,600.0,800.0,290.0,3.0,1.0,,,,,,,,,,,,,,1.0,,,2,2019
Léo (ZAG),Cruzeiro,839,1,600.0,600.0,39.0,,,,1.0,2.0,,,,,,,,,,,,,,2,2019
Diogo Silva (GOL),Ceará,944,2,585.0,370.0,181.0,,,,1.0,,,,,3.0,,,,,,1.0,,,1.0,2,2019
Toró (ATA),São Paulo,644,2,585.0,1070.0,436.0,2.0,1.0,,,3.0,1.0,,,,,,,,,,2.0,,2.0,2,2019
Nico López (ATA),Internacional,1843,1,580.0,580.0,-357.0,1.0,,,,,3.0,1.0,1.0,,,,,1.0,,,,,1.0,2,2019
Leandro Carvalho (ATA),Ceará,1204,2,575.0,300.0,59.0,2.0,1.0,,,1.0,2.0,1.0,,,,,,,,,1.0,1.0,6.0,2,2019
Chará (ATA),Atlético-MG,1075,2,570.0,780.0,201.0,3.0,1.0,,,2.0,3.0,,,,,,,,,,3.0,,10.0,2,2019
Dedé (ZAG),Cruzeiro,1495,2,550.0,1060.0,80.0,5.0,,,1.0,1.0,,,,,,,,,,,1.0,,5.0,2,2019
Gregore (MEI),Bahia,1226,2,530.0,320.0,19.0,10.0,,,,1.0,,,,,,,,,,,8.0,,3.0,2,2019
Tadeu (GOL),Goiás,1136,2,530.0,-130.0,-37.0,,,,1.0,1.0,,,,1.0,1.0,,,,,2.0,,,3.0,2,2019
Ramires (MEI),Bahia,1354,2,525.0,80.0,-82.0,2.0,,1.0,,1.0,2.0,1.0,,,,,,,,,,1.0,1.0,2,2019
Enderson Moreira (TEC),Ceará,1070,2,523.0,165.0,43.0,,,,,,,,,,,,,,,,,,,2,2019
Leandro Barcia (ATA),Goiás,695,2,500.0,830.0,300.0,1.0,1.0,,,5.0,3.0,,,,,,,1.0,,,3.0,,3.0,2,2019
Alexandre Pato (ATA),São Paulo,813,2,495.0,1040.0,293.0,2.0,1.0,,,2.0,2.0,,,,,,,,,,3.0,2.0,4.0,2,2019
Marquinhos Silva (ZAG),Avaí,830,2,495.0,570.0,192.0,7.0,,,,3.0,3.0,,,,,,,1.0,,,2.0,,5.0,2,2019
Rodrigo Santana (TEC),Atlético-MG,964,2,474.0,525.0,116.0,,,,,,,,,,,,,,,,,,,2,2019
Roger Machado (TEC),Bahia,918,2,471.0,361.0,98.0,,,,,,,,,,,,,,,,,,,2,2019
Getúlio (ATA),Avaí,759,2,470.0,660.0,218.0,3.0,,,,2.0,1.0,2.0,1.0,,,,,,,,3.0,1.0,1.0,2,2019
Víctor Cuesta (ZAG),Internacional,1289,1,470.0,470.0,-211.0,3.0,,,,1.0,,,,,,,,,,,,,1.0,2,2019
Brizuela (ATA),Avaí,798,2,470.0,270.0,125.0,2.0,1.0,,,1.0,,,,,,,,,,,2.0,1.0,2.0,2,2019
Patrick (MEI),Internacional,855,1,470.0,470.0,-45.0,3.0,,,,1.0,,,,,,,,,,,,,1.0,2,2019
Ney Franco (TEC),Chapecoense,781,2,464.0,289.0,130.0,,,,,,,,,,,,,,,,,,,2,2019
Carlos Sánchez (MEI),Santos,1242,2,460.0,950.0,83.0,2.0,1.0,,,1.0,1.0,,,,,,,,,,2.0,,7.0,2,2019
David Duarte (ZAG),Goiás,883,2,460.0,270.0,85.0,3.0,,,1.0,,,,,,,,,,,,,,1.0,2,2019
Artur (ATA),Bahia,874,2,450.0,110.0,48.0,2.0,1.0,,,2.0,,1.0,,,,,,,,,2.0,1.0,9.0,2,2019
Eduardo (LAT),Chapecoense,985,2,450.0,80.0,0.0,3.0,,,1.0,2.0,,,,,,,,,,,,,5.0,2,2019
Jorge Sampaoli (TEC),Santos,998,2,449.0,461.0,70.0,,,,,,,,,,,,,,,,,,,2,2019
Pedro Henrique (ZAG),Corinthians,833,2,440.0,460.0,125.0,2.0,,,1.0,3.0,1.0,,,,,,,,,,,,5.0,2,2019
Reinaldo (LAT),São Paulo,1165,2,430.0,190.0,-63.0,5.0,,,1.0,1.0,,,,,,,,1.0,,,3.0,,3.0,2,2019
Fábio Carille (TEC),Corinthians,1024,2,429.0,440.0,40.0,,,,,,,,,,,,,,,,,,,2,2019
Claudio Winck (LAT),Vasco,472,1,420.0,420.0,72.0,3.0,,,,,1.0,,,,,,,,,,1.0,,2.0,2,2019
Robinho (MEI),Cruzeiro,833,1,420.0,420.0,-67.0,2.0,,,,3.0,1.0,1.0,,,,,,,,,1.0,,6.0,2,2019
Cuca (TEC),São Paulo,933,2,414.0,346.0,44.0,,,,,,,,,,,,,,,,,,,2,2019
Abel Braga (TEC),Flamengo,1048,2,412.0,298.0,-11.0,,,,,,,,,,,,,,,,,,,2,2019
Raul (MEI),Vasco,562,1,410.0,0.0,0.0,4.0,,,,2.0,,1.0,,,,,,1.0,,,3.0,,2.0,2,2019
Fábio Santos (LAT),Atlético-MG,1144,2,410.0,-120.0,-133.0,1.0,1.0,,,3.0,,,,,,,,,,,2.0,,6.0,2,2019
Bruno Silva (MEI),Fluminense,799,2,405.0,540.0,126.0,4.0,,,,7.0,1.0,,,,,,,,,,2.0,,4.0,2,2019
Odair Hellmann (TEC),Internacional,835,2,391.0,516.0,96.0,,,,,,,,,,,,,,,,,,,2,2019
Felipe Alves (GOL),Fortaleza,735,2,385.0,70.0,41.0,,,,,,,,,6.0,,,,,,5.0,,,1.0,2,2019
Tiago Nunes (TEC),Athlético-PR,866,2,374.0,214.0,10.0,,,,,,,,,,,,,,,,,,,2,2019
Gustavo Bochecha (MEI),Botafogo,794,2,370.0,-20.0,-11.0,6.0,,,,4.0,,,,,,,,,,,3.0,,7.0,2,2019
Mano Menezes (TEC),Cruzeiro,942,2,366.0,671.0,67.0,,,,,,,,,,,,,,,,,,,2,2019
Alan Ruschel (LAT),Chapecoense,768,2,365.0,170.0,33.0,1.0,,,1.0,7.0,,1.0,,,,,,,,,6.0,,3.0,2,2019
Lucas Mineiro (MEI),Vasco,646,2,360.0,630.0,167.0,6.0,,,,,2.0,,,,,,,,,,5.0,,3.0,2,2019
Edenílson (MEI),Internacional,952,1,360.0,360.0,-148.0,,,1.0,,,,,,,,,,,,,1.0,,3.0,2,2019
Marcos Valadares (TEC),Vasco,782,2,350.0,346.0,51.0,,,,,,,,,,,,,,,,,,,2,2019
Tiago Alves (ZAG),Ceará,686,2,345.0,170.0,48.0,2.0,,,1.0,1.0,,,,,,,,,,,2.0,,2.0,2,2019
Guga (LAT),Atlético-MG,525,2,340.0,880.0,247.0,4.0,,1.0,,,,,,,,,,,,,2.0,1.0,9.0,2,2019
Claudinei Oliveira (TEC),Goiás,722,2,332.0,152.0,20.0,,,,,,,,,,,,,,,,,,,2,2019
Matheus Barbosa (MEI),Avaí,451,2,330.0,480.0,187.0,5.0,,,,,1.0,,,,,,,,,,1.0,,4.0,2,2019
Igor Rabello (ZAG),Atlético-MG,1007,1,320.0,320.0,-193.0,2.0,,,,,1.0,,,,,,,,,,,,2.0,2,2019
Rogério Ceni (TEC),Fortaleza,639,2,313.0,441.0,94.0,,,,,,,,,,,,,,,,,,,2,2019
Elton (MEI),Bahia,598,2,305.0,520.0,119.0,7.0,,,,,1.0,,,,,,,,,,8.0,,4.0,2,2019
Maxi López (ATA),Vasco,609,2,305.0,770.0,165.0,1.0,1.0,,,1.0,,,,,,,,,,,5.0,1.0,3.0,2,2019
Ricardo (ZAG),Vasco,616,2,305.0,50.0,19.0,5.0,,,,1.0,1.0,,,,,,,,,,3.0,,4.0,2,2019
Madson (MEI),CSA,741,2,305.0,260.0,13.0,2.0,,,,6.0,3.0,,,,,,,,,,1.0,,6.0,2,2019
Renato Gaúcho (TEC),Grêmio,1027,2,303.0,153.0,-120.0,,,,,,,,,,,,,,,,,,,2,2019
Rodolfo (GOL),Fluminense,590,2,300.0,800.0,174.0,,,,,,,,,4.0,,,,,,3.0,,,,2,2019
Tharlis (MEI),Chapecoense,343,1,290.0,290.0,43.0,3.0,,,,,,,,,,,,,,,2.0,,2.0,2,2019
Rodrigo Lindoso (MEI),Internacional,687,1,290.0,0.0,0.0,1.0,,,,1.0,,1.0,,,,,,,,,,,1.0,2,2019
Luciano Castán (ZAG),CSA,526,2,280.0,470.0,117.0,5.0,,,,,,,,,,,,,,,2.0,,3.0,2,2019
Everton (MEI),São Paulo,962,2,275.0,70.0,-134.0,,1.0,,,3.0,,,,,,,,,,,4.0,1.0,5.0,2,2019
Zeca (LAT),Internacional,551,1,270.0,270.0,-49.0,4.0,,,,,,,,,,,,1.0,,,2.0,,1.0,2,2019
Thiago Carleto (LAT),Ceará,825,2,265.0,-10.0,-105.0,1.0,,,1.0,1.0,1.0,,,,,,,,,,2.0,,5.0,2,2019
Fabinho (MEI),Ceará,611,2,255.0,120.0,-6.0,5.0,,,,,,,,,,,,,,,3.0,,3.0,2,2019
Eduardo Barroca (TEC),Botafogo,668,2,252.0,370.0,20.0,,,,,,,,,,,,,,,,,,,2,2019
Régis (MEI),Chapecoense,425,2,250.0,200.0,78.0,3.0,,,,,3.0,,,,,,,,,,2.0,,3.0,2,2019
Joel Carli (ZAG),Botafogo,706,2,235.0,330.0,-16.0,6.0,,,,,,,,,,,,1.0,,,1.0,,6.0,2,2019
Osvaldo (ATA),Fortaleza,530,2,235.0,540.0,93.0,1.0,,1.0,,1.0,,2.0,,,,,,1.0,,,3.0,,4.0,2,2019
Yan Sasse (MEI),Vasco,433,2,230.0,370.0,93.0,1.0,,,,2.0,4.0,1.0,,,,,,,,,1.0,,6.0,2,2019
Geninho (TEC),Avaí,466,2,222.0,239.0,47.0,,,,,,,,,,,,,,,,,,,2,2019
Nino Paraíba (LAT),Bahia,1170,2,220.0,230.0,-225.0,2.0,,1.0,,2.0,,,,,,,,1.0,,,1.0,,7.0,2,2019
Auremir (MEI),Ceará,443,2,210.0,-30.0,-8.0,5.0,,,,2.0,,,,,,,,,,,5.0,,6.0,2,2019
Júnior Santos (ATA),Fortaleza,512,2,210.0,480.0,68.0,2.0,,,,,,3.0,,,,,,,,,2.0,1.0,3.0,2,2019
Matheus Henrique (MEI),Grêmio,509,2,210.0,210.0,16.0,4.0,,,,5.0,1.0,,,,,,,1.0,,,2.0,,7.0,2,2019
Paulo Roberto (MEI),Fortaleza,519,2,210.0,320.0,33.0,2.0,,,,6.0,1.0,,,,,,,,,,4.0,,2.0,2,2019
Roger Carvalho (ZAG),Fortaleza,525,2,205.0,0.0,-37.0,3.0,,,,1.0,,,,,,,,,,,,,3.0,2,2019
Rodriguinho (MEI),Cruzeiro,486,1,200.0,0.0,0.0,1.0,,,,2.0,,,,,,,,,,,,1.0,,2,2019
Bergson (ATA),Ceará,532,2,200.0,240.0,5.0,,,,,,,4.0,,,,,,,,,1.0,,1.0,2,2019
Danilo Barcelos (LAT),Vasco,624,1,200.0,0.0,0.0,1.0,,,,1.0,1.0,,,,,,,,,,1.0,,1.0,2,2019
Didira (MEI),CSA,543,2,200.0,210.0,-5.0,2.0,,,,5.0,,,,,,,,,,,,,5.0,2,2019
João Paulo (MEI),Avaí,477,2,195.0,230.0,19.0,3.0,,,,5.0,,,,,,,,,,,2.0,,7.0,2,2019
Marcelo Cabo (TEC),CSA,304,2,190.0,274.0,91.0,,,,,,,,,,,,,,,,,,,2,2019
Jean Mota (MEI),Santos,903,2,190.0,0.0,-193.0,3.0,,,,1.0,,1.0,,,,,,,,,3.0,,3.0,2,2019
Giovanni Augusto (MEI),Goiás,480,2,190.0,340.0,36.0,4.0,,,,2.0,,,,,,,,,,,1.0,,9.0,2,2019
Léo Sena (MEI),Goiás,380,2,190.0,200.0,47.0,5.0,,,,5.0,,,,,,,,1.0,,,3.0,,9.0,2,2019
Bruno Ramires (MEI),CSA,418,2,185.0,70.0,2.0,3.0,,,,1.0,1.0,,,,,,,,,,3.0,,2.0,2,2019
Bruno Alves (ZAG),São Paulo,600,2,180.0,100.0,-66.0,1.0,,,1.0,1.0,1.0,,,,,,,,,,6.0,,4.0,2,2019
Cassiano (ATA),CSA,422,2,180.0,320.0,47.0,1.0,,,,5.0,,1.0,,,,,,,,,1.0,1.0,2.0,2,2019
Victor Ferraz (LAT),Santos,661,2,180.0,210.0,-67.0,4.0,,,,1.0,,,,,,,,,,,1.0,,8.0,2,2019
Alex Silva (LAT),Avaí,435,1,170.0,170.0,-65.0,1.0,,,,3.0,1.0,1.0,,,,,,1.0,,,2.0,,1.0,2,2019
Yago Pikachu (MEI),Vasco,922,2,170.0,140.0,-188.0,1.0,,,,4.0,1.0,,,,,,,,,,,,3.0,2,2019
Geovane (MEI),Goiás,359,2,170.0,30.0,5.0,6.0,,,,,,,,,,,,,,,4.0,,12.0,2,2019
Gum (ZAG),Chapecoense,576,2,160.0,-60.0,-104.0,,,,1.0,,1.0,,,,,,,,,,,1.0,7.0,2,2019
Réver (ZAG),Atlético-MG,1223,1,150.0,150.0,-377.0,1.0,,,,,,,,,,,,,,,,,,2,2019
Gabriel (ZAG),Botafogo,514,2,150.0,210.0,-34.0,3.0,,,,,,,,,,,,,,,,,5.0,2,2019
Henrique (MEI),Cruzeiro,798,1,150.0,0.0,0.0,1.0,,,,2.0,,,,,,,,,,,2.0,,,2,2019
Marcelo Lomba (GOL),Internacional,754,2,150.0,100.0,-148.0,,,,,,,,,3.0,,,,,,3.0,,,,2,2019
César (GOL),Flamengo,360,2,150.0,500.0,82.0,,,,,,,,,3.0,,,,,,3.0,,,,2,2019
Carlinhos (LAT),Fortaleza,417,2,150.0,480.0,56.0,3.0,,,,2.0,3.0,,,,,,,1.0,,,4.0,,3.0,2,2019
Rodrigo Moledo (ZAG),Internacional,377,2,145.0,290.0,30.0,1.0,,,,1.0,,1.0,,,,,,,,,,,1.0,2,2019
José Welison (MEI),Atlético-MG,377,2,145.0,290.0,30.0,2.0,,,,1.0,,,,,,,,,,,,,2.0,2,2019
Fred (ATA),Cruzeiro,716,2,140.0,20.0,-158.0,,,1.0,,4.0,1.0,,,,,,,1.0,,,3.0,,5.0,2,2019
Fernando Diniz (TEC),Fluminense,450,2,126.0,283.0,-15.0,,,,,,,,,,,,,,,,,,,2,2019
Tomás Andrade (MEI),Athlético-PR,524,2,125.0,70.0,-87.0,,,,,3.0,2.0,1.0,,,,,,,,,,,6.0,2,2019
Nathan (MEI),Atlético-MG,341,1,120.0,120.0,-59.0,,,,,,,1.0,,,,,,,,,,,,2,2019
Everaldo (ATA),Fluminense,347,2,110.0,500.0,56.0,,,1.0,,4.0,1.0,,,,,,,1.0,,,4.0,2.0,2.0,2,2019
Tiago Volpi (GOL),São Paulo,650,2,105.0,-230.0,-210.0,,,,1.0,,,,,,,,,,,1.0,,,3.0,2,2019
Caio Henrique (MEI),Fluminense,460,2,105.0,160.0,-60.0,2.0,,,,1.0,1.0,,,,,,,,,,2.0,,4.0,2,2019
Pedro Castro (MEI),Avaí,273,2,95.0,220.0,16.0,2.0,,,,3.0,,,,,,,,,,,4.0,,2.0,2,2019
Douglas (ZAG),Chapecoense,412,2,95.0,-30.0,-88.0,,,,1.0,1.0,,,,,,,,1.0,,,2.0,,2.0,2,2019
Soteldo (MEI),Santos,472,2,85.0,40.0,-104.0,1.0,,,,3.0,1.0,3.0,,,,,,1.0,,,4.0,1.0,4.0,2,2019
Diego (MEI),Flamengo,693,2,80.0,240.0,-153.0,2.0,,,,1.0,,1.0,,,,,,1.0,,,1.0,,2.0,2,2019
Paulinho (LAT),Avaí,197,2,75.0,60.0,-4.0,3.0,,,,2.0,1.0,,,,,,,,,,6.0,,6.0,2,2019
Victor (GOL),Atlético-MG,541,2,70.0,340.0,-83.0,,,,,,,,,2.0,,,,,,2.0,,,2.0,2,2019
Kayke (ATA),Goiás,336,2,70.0,-70.0,-87.0,1.0,,,,2.0,3.0,1.0,,,,,,1.0,,,3.0,,4.0,2,2019
Armero (LAT),CSA,315,1,60.0,60.0,-85.0,1.0,,,,,,,,,,,,,,,,,3.0,2,2019
Gustavo Campanharo (MEI),Chapecoense,216,2,55.0,60.0,-27.0,1.0,,,,,2.0,1.0,,,,,,,,,4.0,,4.0,2,2019
Gustavo Henrique (ZAG),Santos,403,2,55.0,240.0,-62.0,1.0,,,,,,1.0,,,,,,,,,2.0,,2.0,2,2019
Lincoln (ATA),Flamengo,239,1,50.0,50.0,-61.0,,,,,1.0,,,,,,,,,,,,,,2,2019
Marcelo Cirino (ATA),Athlético-PR,455,2,45.0,50.0,-128.0,,,,,1.0,1.0,1.0,,,,,,,,,1.0,1.0,2.0,2,2019
Araruna (MEI),Fortaleza,379,1,40.0,40.0,-121.0,2.0,,,,,,,,,,,,1.0,,,,,2.0,2,2019
Airton (MEI),Fluminense,458,2,40.0,20.0,-139.0,2.0,,,,3.0,,,,,,,,1.0,,,1.0,,4.0,2,2019
Cássio (GOL),Corinthians,463,2,25.0,500.0,-57.0,,,,1.0,1.0,,,,1.0,,,,1.0,,3.0,,,,2,2019
Rodrigo Pimpão (ATA),Botafogo,211,2,20.0,200.0,-25.0,,,1.0,,,1.0,2.0,,,,,,2.0,,,3.0,1.0,6.0,2,2019
Gerson (ZAG),CSA,250,2,20.0,-50.0,-90.0,1.0,,,,,,,,,,,,,,,1.0,,2.0,2,2019
Tchê Tchê (MEI),São Paulo,263,2,10.0,10.0,-91.0,,,,,1.0,,2.0,,,,,,,,,3.0,,4.0,2,2019
Yago (ZAG),Goiás,249,2,10.0,-90.0,-105.0,,,,1.0,,,,,,,,,1.0,,,2.0,,6.0,2,2019
Marllon (ZAG),Corinthians,500,0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,2,2019
Iago (LAT),Internacional,868,1,0.0,0.0,-332.0,,,,,,,1.0,,,,,,,,,,,4.0,2,2019
Paulo André (ZAG),Athlético-PR,600,0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,2,2019
Márcio Azevedo (LAT),Athlético-PR,347,1,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,2,2019
Vitinho (ATA),Athlético-PR,72,1,0.0,0.0,-28.0,,,,,,,,,,,,,,,,,,,2,2019
Ricardinho (MEI),Ceará,312,2,0.0,-30.0,-125.0,,,,,1.0,1.0,,,,,,,,,,2.0,,1.0,2,2019
Michel (LAT),Corinthians,300,0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,2,2019
Luiz Gustavo (ZAG),Vasco,400,0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,2,2019
Rossi (ATA),Vasco,434,1,0.0,0.0,-166.0,,,,,,,,,,,,,,,,,,,2,2019
Egídio (LAT),Cruzeiro,900,0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,2,2019
Léo Cittadini (MEI),Athlético-PR,500,0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,2,2019
Rodinei (LAT),Flamengo,500,0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,2,2019
Ronaldo (MEI),Flamengo,400,0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,2,2019
Trauco (LAT),Flamengo,500,0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,2,2019
Piris da Motta (MEI),Flamengo,500,0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,2,2019
Sidão (GOL),Vasco,600,0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,2,2019
Renatinho (MEI),Goiás,347,1,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,2,2019
Léo Moura (LAT),Grêmio,700,0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,2,2019
Júlio César (GOL),Grêmio,600,0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,2,2019
Erick (MEI),Athlético-PR,100,0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,2,2019
Santos (GOL),Athlético-PR,429,2,-5.0,-100.0,-188.0,,,,,1.0,,,,2.0,,,,,,3.0,,,2.0,2,2019
Apodi (LAT),CSA,331,2,-15.0,-10.0,-141.0,1.0,,,,2.0,,,,,,,,,,,2.0,,6.0,2,2019
Naldo (MEI),CSA,208,1,-20.0,-20.0,-92.0,,,,,,,1.0,,,,,,,,,,1.0,3.0,2,2019
Lucas Silva (MEI),Cruzeiro,362,2,-25.0,0.0,-158.0,,,,,,,,,,,,,,,,1.0,,,2,2019
Quintero (ZAG),Fortaleza,214,2,-30.0,-30.0,-112.0,,,,,1.0,,,,,,,,,,,1.0,,2.0,2,2019
Lucas Fonseca (ZAG),Bahia,302,2,-45.0,-60.0,-163.0,,,,,1.0,,,,,,,,,,,1.0,,3.0,2,2019
Braian Romero (ATA),Athlético-PR,268,1,-50.0,-50.0,-132.0,,,,,,,,,,,,,,,,1.0,,,2,2019
Matheus Ferraz (ZAG),Fluminense,226,2,-50.0,-10.0,-128.0,1.0,,,,,2.0,,,,,,,1.0,,,3.0,,2.0,2,2019
Allan (MEI),Fluminense,197,2,-50.0,-210.0,-157.0,2.0,,,,3.0,1.0,1.0,,,,,,1.0,,,5.0,,10.0,2,2019
Nino (ZAG),Fluminense,72,2,-55.0,-10.0,-67.0,1.0,,,,1.0,,,,,,,,1.0,,,1.0,,2.0,2,2019
Gilberto (LAT),Fluminense,637,2,-75.0,-150.0,-334.0,,,,,1.0,,1.0,,,,,,,,,1.0,,9.0,2,2019
Luciano (ATA),Fluminense,247,2,-75.0,380.0,-79.0,1.0,,,,6.0,3.0,2.0,,,,,,1.0,1.0,,4.0,2.0,6.0,2,2019
Rhodolfo (ZAG),Flamengo,463,1,-100.0,-100.0,-237.0,,,,,,,,,,,,,,,,2.0,,,2,2019
